country,year,"GDP (current US$)","Patent applications", "residents,CO2 emissions (kt)","Scientific and technical journal articles"
India,2003,617572578403,3425,1281914,12463,9188
India,2004,721585293251,4014,1348525,13369,13452
India,2005,834216897837,4721,1411128,14636,19661
India,2006,949116769620,5686,1504365,16744,23242
India,2007,1238700195640,6296,1611405,18203,28922
India,2008,1224096625890,6425,1802159,18988,30387
India,2009,1365372912990,7262,1979425,19918,27025
India,2010,1710917218020,8853,0,0,30909
India,2011,1872845406800,8841,0,0,33450
Iceland,1990,6372905074,17,1992,89,113
Iceland,1991,6807365898,34,1768,104,99
Iceland,1992,6976080331,28,1830,105,121
Iceland,1993,6126456175,34,1992,122,112
Iceland,1994,6294803497,22,2010,137,108
Iceland,1995,7018100153,19,1948,156,49
Iceland,1996,7330965239,16,2212,146,75
Iceland,1997,7422994706,22,2105,143,216
Iceland,1998,8291725775,41,2102,175,254
Iceland,1999,8742600399,35,2069,144,357
Iceland,2000,8697298234,51,2164,151,825
Iceland,2001,7922983043,49,2102,178,713
Iceland,2002,8907207934,71,2171,196,379
Iceland,2003,10969898925,57,2168,195,748
Iceland,2004,13251434312,66,2234,191,463
Iceland,2005,16286323128,47,2204,207,545
Iceland,2006,16651492784,45,2278,233,326
Iceland,2007,20428232685,61,2340,232,53
Iceland,2008,16832079677,50,2219,233,31
Iceland,2009,12115001167,64,2028,260,22
Iceland,2010,12564460547,57,0,0,19
Iceland,2011,14074764559,50,0,0,21
Italy,1990,1138091138040,0,425255,13062,0
Italy,1991,1200715302560,0,434947,13778,0
Italy,1992,1271956871340,7568,428104,15462,486
Italy,1993,1026071880520,7493,423231,15279,483
Italy,1994,1059079564100,7872,412604,17000,439
Italy,1995,1131770110940,0,438695,17881,0
Italy,1996,1266354134490,6997,429428,19234,1678
Italy,1997,1198654411770,0,433601,19402,0
Italy,1998,1224579873010,0,442545,20056,0
Italy,1999,1208180354710,6281,437019,20328,1172
Italy,2000,1104009462560,7877,448141,21410,1396
Italy,2001,1123702691040,0,447055,22091,0
Italy,2002,1225176959600,0,449285,22483,0
Italy,2003,1514503536380,0,468350,23765,0
Italy,2004,1735521503770,0,472768,24760,0
Italy,2005,1786275014010,0,473381,24663,0
Italy,2006,1872982702430,0,470176,25803,0
Italy,2007,2127180496500,9255,461129,26561,870
Italy,2008,2307311495090,8588,447367,26854,861
Italy,2009,2111148008710,8814,400837,26756,903
Italy,2010,2041954747600,8877,0,0,846
Italy,2011,2192357094740,8794,0,0,927
Japan,1990,3103698099970,332952,1094633,38570,27752
Japan,1991,3536800942900,335564,1100526,39590,26026
Japan,1992,3852794371590,337498,1123562,44143,24699
Japan,1993,4414962786900,331774,1108564,43339,23726
Japan,1994,4850348016490,319261,1174027,46692,21940
Japan,1995,5333925511060,333770,1183946,47068,35061
Japan,1996,4706187126020,339045,1205611,50345,37629
Japan,1997,4324278106870,349211,1201632,51463,52407
Japan,1998,3914574887340,357379,1159066,53839,44716
Japan,1999,4432599282920,357531,1198042,55274,46926
Japan,2000,4731198760270,384201,1219593,57101,35342
Japan,2001,4159859918090,382815,1202267,56082,57433
Japan,2002,3980819536160,365204,1216751,56347,56601
Japan,2003,4302939184960,358184,1237393,57229,54909
Japan,2004,4655803055650,368416,1259659,56536,54665
Japan,2005,4571875737180,367960,1238181,55528,59118
Japan,2006,4356761451090,347060,1231298,54468,61614
Japan,2007,4356329296670,333498,1251170,52909,62793
Japan,2008,4849208099920,330110,1207687,51842,60892
Japan,2009,5035141567660,295315,1101135,49627,53281
Japan,2010,5495379357480,290081,0,0,54517
